depth,substrate,conc,mass bottle,mass filled,mass sample g
3,1: arg-AMC,400.3,11.66,12.3,0.64
3,2: gly-AMC,0,11.86,12.57,0.71
3,2: gly-AMC,25,11.72,12.34,0.62
3,2: gly-AMC,50,11.68,12.34,0.66
3,2: gly-AMC,75,11.66,12.21,0.55
3,2: gly-AMC,100,11.71,12.36,0.65
3,2: gly-AMC,200,11.87,12.45,0.58
3,2: gly-AMC,300,11.84,12.46,0.62
3,2: gly-AMC,400.1,11.7,12.16,0.46
3,2: gly-AMC,400.2,11.72,12.6,0.88
3,2: gly-AMC,400.3,11.91,12.42,0.51
3,3: leu-AMC,0,11.7,12.35,0.65
3,3: leu-AMC,25,11.64,12.24,0.6
3,3: leu-AMC,50,11.7,12.21,0.51
3,3: leu-AMC,75,11.81,12.39,0.58
3,3: leu-AMC,100,11.73,12.61,0.88
3,3: leu-AMC,200,11.75,12.56,0.81
3,3: leu-AMC,300,11.85,12.51,0.66
3,3: leu-AMC,400.1,11.73,12.29,0.56
3,3: leu-AMC,400.2,11.79,12.41,0.62
3,3: leu-AMC,400.3,11.8,12.75,0.95
3,4: gly-gly-arg-AMC,0,11.69,12.19,0.5
3,4: gly-gly-arg-AMC,25,11.75,12.26,0.51
3,4: gly-gly-arg-AMC,50,11.92,12.44,0.52
3,4: gly-gly-arg-AMC,75,11.69,12.36,0.67
3,4: gly-gly-arg-AMC,100,11.73,12.19,0.46
3,4: gly-gly-arg-AMC,200,11.69,12.39,0.7
3,4: gly-gly-arg-AMC,300,11.73,12.27,0.54
3,4: gly-gly-arg-AMC,400.1,11.75,12.2,0.45
3,4: gly-gly-arg-AMC,400.2,11.88,12.09,0.21
3,4: gly-gly-arg-AMC,400.3,11.89,12.56,0.67
3,5: ala-ala-phe-AMC,0,11.83,12.42,0.59
3,5: ala-ala-phe-AMC,25,11.79,12.49,0.7
3,5: ala-ala-phe-AMC,50,11.74,12.37,0.63
3,5: ala-ala-phe-AMC,75,11.79,12.38,0.59
3,5: ala-ala-phe-AMC,100,11.78,12.53,0.75
3,5: ala-ala-phe-AMC,200,11.7,12.29,0.59
3,5: ala-ala-phe-AMC,300,11.91,12.44,0.53
3,6: boc-val-pro-arg-AMC,0,11.68,12.21,0.53
3,6: boc-val-pro-arg-AMC,25,11.68,12.24,0.56
3,6: boc-val-pro-arg-AMC,50,11.82,12.32,0.5
3,6: boc-val-pro-arg-AMC,75,11.75,12.28,0.53
3,6: boc-val-pro-arg-AMC,100,11.81,12.31,0.5
3,6: boc-val-pro-arg-AMC,200,11.73,12.21,0.48
3,6: boc-val-pro-arg-AMC,300,11.89,12.49,0.6
4,1: arg-AMC,0,11.62,12.25,0.63
4,1: arg-AMC,25,11.63,12.22,0.59
4,1: arg-AMC,50,11.82,12.38,0.56
4,1: arg-AMC,75,11.6,12.21,0.61
4,1: arg-AMC,100,11.82,12.5,0.68
4,1: arg-AMC,200,11.73,12.27,0.54
4,1: arg-AMC,300,11.86,12.43,0.57
4,1: arg-AMC,400.1,11.79,12.39,0.6
4,1: arg-AMC,400.2,11.64,12.25,0.61
4,1: arg-AMC,400.3,11.79,12.37,0.58
4,2: gly-AMC,0,11.8,12.37,0.57
4,2: gly-AMC,25,11.72,12.28,0.56
4,2: gly-AMC,50,11.84,12.49,0.65
4,2: gly-AMC,75,11.65,12.35,0.7
4,2: gly-AMC,100,11.87,12.46,0.59
4,2: gly-AMC,200,11.69,12.24,0.55
4,2: gly-AMC,300,11.84,12.39,0.55
4,2: gly-AMC,400.1,11.53,12.08,0.55
4,2: gly-AMC,400.2,11.58,12.24,0.66
4,2: gly-AMC,400.3,11.64,12.25,0.61
4,3: leu-AMC,0,11.66,12.23,0.57
4,3: leu-AMC,25,11.72,12.29,0.57
4,3: leu-AMC,50,11.75,12.1,0.35
4,3: leu-AMC,75,11.81,12.38,0.57
4,3: leu-AMC,100,11.75,12.38,0.63
4,3: leu-AMC,200,15.26,15.81,0.55
4,3: leu-AMC,300,15.14,15.65,0.51
4,3: leu-AMC,400.1,15.25,15.91,0.66
4,3: leu-AMC,400.2,15.21,15.66,0.45
4,3: leu-AMC,400.3,15.44,15.98,0.54
4,4: gly-gly-arg-AMC,0,11.84,12.42,0.58
4,4: gly-gly-arg-AMC,25,11.84,12.32,0.48
4,4: gly-gly-arg-AMC,50,11.8,12.28,0.48
4,4: gly-gly-arg-AMC,75,11.84,12.36,0.52
4,4: gly-gly-arg-AMC,100,11.78,12.39,0.61
4,4: gly-gly-arg-AMC,200,11.63,12.37,0.74
4,4: gly-gly-arg-AMC,300,11.56,12.01,0.45
4,4: gly-gly-arg-AMC,400.1,11.64,12.16,0.52
4,4: gly-gly-arg-AMC,400.2,11.59,12.13,0.54
4,4: gly-gly-arg-AMC,400.3,15.33,15.87,0.54
4,5: ala-ala-phe-AMC,0,11.65,12.22,0.57
4,5: ala-ala-phe-AMC,25,11.76,12.18,0.42
4,5: ala-ala-phe-AMC,50,11.85,12.38,0.53
4,5: ala-ala-phe-AMC,75,11.7,12.23,0.53
4,5: ala-ala-phe-AMC,100,11.57,12.24,0.67
4,5: ala-ala-phe-AMC,200,15.33,15.86,0.53
